phase,train_fraction,method,queue_run,severity,corruption,it_total_ood_auroc,it_epistemic_ood_auroc,it_aleatoric_ood_auroc
full-data,1.0,edl,5lhhpt1y,4,gaussian_noise,0.854115,0.854404,0.853443
full-data,1.0,edl,5lhhpt1y,4,impulse_noise,0.892974,0.893974,0.888037
full-data,1.0,edl,5lhhpt1y,4,jpeg,0.750044,0.750178,0.749860
full-data,1.0,edl,5lhhpt1y,4,motion_blur,0.771045,0.771287,0.770585
full-data,1.0,edl,5lhhpt1y,4,pixelate,0.734806,0.734700,0.735467
full-data,1.0,edl,5lhhpt1y,4,shot_noise,0.836428,0.836461,0.836156
full-data,1.0,edl,5lhhpt1y,4,snow,0.706738,0.706931,0.705661
full-data,1.0,edl,5lhhpt1y,4,zoom_blur,0.790104,0.790282,0.789056
full-data,1.0,edl,5lhhpt1y,5,brightness,0.581599,0.581707,0.581281
full-data,1.0,edl,5lhhpt1y,5,contrast,0.916080,0.915258,0.920325
full-data,1.0,edl,5lhhpt1y,5,defocus_blur,0.862813,0.862944,0.862240
full-data,1.0,edl,5lhhpt1y,5,elastic,0.797220,0.797739,0.795188
full-data,1.0,edl,5lhhpt1y,5,fog,0.786148,0.786250,0.786142
full-data,1.0,edl,5lhhpt1y,5,frost,0.822840,0.822921,0.823385
full-data,1.0,edl,5lhhpt1y,5,frosted_glass_blur,0.871855,0.872272,0.869983
full-data,1.0,edl,5lhhpt1y,5,gaussian_noise,0.861211,0.861564,0.860780
full-data,1.0,edl,5lhhpt1y,5,impulse_noise,0.920180,0.921023,0.915666
full-data,1.0,edl,5lhhpt1y,5,jpeg,0.773442,0.773732,0.772652
full-data,1.0,edl,5lhhpt1y,5,motion_blur,0.822834,0.823069,0.821690
full-data,1.0,edl,5lhhpt1y,5,pixelate,0.790970,0.790706,0.792818
full-data,1.0,edl,5lhhpt1y,5,shot_noise,0.856235,0.856509,0.855786
full-data,1.0,edl,5lhhpt1y,5,snow,0.751533,0.751588,0.751145
full-data,1.0,edl,5lhhpt1y,5,zoom_blur,0.837527,0.837693,0.836589
full-data,1.0,ddu,5w1yjrmj,1,brightness,0.501589,0.500000,0.501589
full-data,1.0,ddu,5w1yjrmj,1,contrast,0.517236,0.500000,0.517236
full-data,1.0,ddu,5w1yjrmj,1,defocus_blur,0.506513,0.500000,0.506513
full-data,1.0,ddu,5w1yjrmj,1,elastic,0.632211,0.500000,0.632211
full-data,1.0,ddu,5w1yjrmj,1,fog,0.509680,0.500000,0.509680
full-data,1.0,ddu,5w1yjrmj,1,frost,0.620014,0.500000,0.620014
full-data,1.0,ddu,5w1yjrmj,1,frosted_glass_blur,0.841603,0.500000,0.841603
full-data,1.0,ddu,5w1yjrmj,1,gaussian_noise,0.724498,0.500000,0.724498
full-data,1.0,ddu,5w1yjrmj,1,impulse_noise,0.663182,0.500000,0.663182
full-data,1.0,ddu,5w1yjrmj,1,jpeg,0.701490,0.500000,0.701490
