phase,train_fraction,method,queue_run,it_aleatoric_mean,it_epistemic_mean,kg_prob_aleatoric_mean,kg_prob_epistemic_mean,kg_logit_aleatoric_mean,kg_logit_epistemic_mean,bregman_aleatoric_mean,bregman_epistemic_mean
scarce-50pct,0.5,het-xl,olapo0kg,0.1440805345773697,0.0093300268054008,0.1440805345773697,0.0004515568434726,0.1440805345773697,0.259453535079956,0.1440805345773697,0.0095062581822276
scarce-50pct,0.5,hetclassnn,pb3a6oru,0.0795546546578407,0.0467210747301578,0.0795546546578407,0.0026034615002572,0.0795546546578407,2.5448293685913086,0.0795546546578407,0.0611339025199413
scarce-10pct,0.1,sngp,1692idyk,0.2142063379287719,0.0158893503248691,0.2142063379287719,0.000875343394,0.2142063379287719,0.2891802489757538,0.2142063379287719,0.0165669675916433
scarce-10pct,0.1,edl,5lhhpt1y,1.65696120262146,0.2866320312023163,1.65696120262146,0.0059355436824262,1.65696120262146,0.0,1.65696120262146,0.3903048634529114
scarce-10pct,0.1,ddu,5w1yjrmj,0.5390262007713318,0.0,0.5390262007713318,0.0,0.5390262007713318,0.0,0.5390262007713318,-2.506237717359028e-10
scarce-10pct,0.1,postnet,8ugac5sn,0.2224594205617904,0.0020502137485891,0.2224594205617904,1.7727457816363312e-05,0.2224594205617904,0.0,0.2224594205617904,0.0021158966701477
scarce-10pct,0.1,loss-prediction,9fb4ansn,0.524624764919281,0.0,0.524624764919281,0.0,0.524624764919281,0.0,0.524624764919281,2.1091656199345718e-10
scarce-10pct,0.1,het-xl,e6rpfaue,0.1577065736055374,0.0074468590319156,0.1577065736055374,0.0004068155831191,0.1577065736055374,0.6276073455810547,0.1577065736055374,0.0076697398908436
scarce-10pct,0.1,sngp,jkzjb5vz,0.2212952822446823,0.0170412361621856,0.2212952822446823,0.0009144801297225,0.2212952822446823,0.307516485452652,0.2212952822446823,0.0177392270416021
scarce-10pct,0.1,shallow-ensemble,k6scvi1c,0.2381797879934311,0.0002356754266656,0.2381797879934311,9.056965609488545e-06,0.2381797879934311,0.0252302512526512,0.2381797879934311,0.0002257605665363
scarce-10pct,0.1,het-xl,olapo0kg,0.2126642912626266,0.0134172048419713,0.2126642912626266,0.0006307233124971,0.2126642912626266,0.2487434893846511,0.2126642912626266,0.0137225110083818
scarce-10pct,0.1,hetclassnn,pb3a6oru,0.1871400326490402,0.1102922409772872,0.1871400326490402,0.0059960270300507,0.1871400326490402,3.841125249862671,0.1871400326490402,0.1459927558898925
