method,parameter_source,decomposition,scarce_fraction,full_mean_aleatoric,scarce_mean_aleatoric,aleatoric_scarcity_shift,full_mean_epistemic,scarce_mean_epistemic,epistemic_scarcity_shift,full_spearman_aleatoric_label_entropy,scarce_spearman_aleatoric_label_entropy,full_spearman_epistemic_label_entropy,scarce_spearman_epistemic_label_entropy,scarcity_specialization_margin
shallow-ensemble,transferred-cifar-config,information-theoretic,0.1,0.1362996101,0.1627424657,0.0264428556,0.006753737573,0.0004195859656,-0.006334151607,0.2210316875,0.05252925381,0.2116293749,0.07036127435,-0.0327770072
sngp-1692idyk,transferred-cifar-config,bregman-estimated,0.5,0.2953855097,0.2722140551,-0.02317145467,0.03934988752,0.0564937219,0.01714383438,0.1155213125,0.1792884074,0.1099916874,0.1728816479,-0.006027620286
sngp-1692idyk,transferred-cifar-config,bregman-estimated,0.1,0.2953855097,0.3100883961,0.01470288634,0.03934988752,0.1302473694,0.09089748189,0.1155213125,0.1788367323,0.1099916874,0.1763152311,0.07619459555
sngp-1692idyk,transferred-cifar-config,information-theoretic,0.5,0.2953855097,0.2722140551,-0.02317145467,0.03335553408,0.04536760598,0.01201207191,0.1155213125,0.1792884074,0.1098512998,0.1697918936,-0.01115938276
sngp-1692idyk,transferred-cifar-config,information-theoretic,0.1,0.2953855097,0.3100883961,0.01470288634,0.03335553408,0.07502605766,0.04167052358,0.1155213125,0.1788367323,0.1098512998,0.1718392427,0.02696763724
sngp-jkzjb5vz,transferred-cifar-config,bregman-estimated,0.5,0.4166676402,0.0515390262,-0.365128614,0.03344848379,0.005882999394,-0.0275654844,0.2107952506,0.1273178731,0.1823521984,0.1178270842,-0.3926940984
sngp-jkzjb5vz,transferred-cifar-config,bregman-estimated,0.1,0.4166676402,0.6134441495,0.1967765093,0.03344848379,0.03702142835,0.003572944552,0.2107952506,0.1345636239,0.1823521984,0.00169799836,-0.1932035647
sngp-jkzjb5vz,transferred-cifar-config,information-theoretic,0.5,0.4166676402,0.0515390262,-0.365128614,0.03126136214,0.005767566152,-0.02549379598,0.2107952506,0.1273178731,0.1823269711,0.1093882672,-0.39062241
sngp-jkzjb5vz,transferred-cifar-config,information-theoretic,0.1,0.4166676402,0.6134441495,0.1967765093,0.03126136214,0.03265493736,0.001393575221,0.2107952506,0.1345636239,0.1823269711,-0.001266243692,-0.1953829341
swag,posthoc,bregman-estimated,0.5,0.0247771088,0.2206508815,0.1958737727,0.221602723,0.2337831259,0.01218040287,0.1773692723,0.2062756819,0.1694939244,0.2049767348,-0.1836933699
swag,posthoc,bregman-estimated,0.1,0.0247771088,0.3942918181,0.3695147093,0.221602723,0.1963580251,-0.02524469793,0.1773692723,0.111527087,0.1694939244,0.09868163703,-0.3947594073
swag,posthoc,information-theoretic,0.5,0.0247771088,0.2206508815,0.1958737727,0.09327802807,0.1570444256,0.06376639754,0.1773692723,0.2062756819,0.1700863928,0.198208736,-0.1321073752
swag,posthoc,information-theoretic,0.1,0.0247771088,0.3942918181,0.3695147093,0.09327802807,0.137181446,0.04390341789,0.1773692723,0.111527087,0.1700863928,0.05180952677,-0.3256112915
temperature-scaling,posthoc,bregman-estimated,0.5,0.5567111373,0.574431777,0.01772063971,-4.317375901e-10,9.921641286e-10,1.423901719e-09,0.1352743136,0.1348860335,,,-0.01772063828
temperature-scaling,posthoc,bregman-estimated,0.1,0.5567111373,0.6022891998,0.04557806253,-4.317375901e-10,-7.379441502e-10,-3.062065601e-10,0.1352743136,0.07016672686,,,-0.04557806284
temperature-scaling,posthoc,information-theoretic,0.5,0.5567111373,0.574431777,0.01772063971,0,0,0,0.1352743136,0.1348860335,,,-0.01772063971
temperature-scaling,posthoc,information-theoretic,0.1,0.5567111373,0.6022891998,0.04557806253,0,0,0,0.1352743136,0.07016672686,,,-0.04557806253
