phase,train_fraction,method,parameter_source,decomposition,num_samples,num_finite_samples,mean_aleatoric,mean_epistemic,std_aleatoric,std_epistemic,pearson_aleatoric_label_entropy,spearman_aleatoric_label_entropy,pearson_epistemic_label_entropy,spearman_epistemic_label_entropy,spearman_aleatoric_vote_disagreement,spearman_epistemic_vote_disagreement
scarce-50pct,0.5,correctness-prediction,exact-cdc24149,bregman-estimated,977,977,0.1919858307,6.260031382e-11,0.2016327381,8.761540826e-09,-0.01450355745,0.1014952445,,,0.05821515948,
scarce-10pct,0.1,correctness-prediction,exact-cdc24149,information-theoretic,977,977,0.1053428948,0,0.154197067,0,-0.03003437243,0.08470896188,,,0.04482730814,
scarce-10pct,0.1,correctness-prediction,exact-cdc24149,bregman-estimated,977,977,0.1053428948,9.692553704e-11,0.154197067,3.997634668e-09,-0.03003437243,0.08470896188,,,0.04482730814,
full-data,1,deep-ensemble,posthoc,information-theoretic,977,977,0.1994653791,0.09574961662,0.1716135591,0.12612468,0.01824599429,0.1409309333,0.0534121964,0.1711440606,0.09048854843,0.1242571487
full-data,1,deep-ensemble,posthoc,bregman-estimated,977,977,0.1994653791,0.2251733094,0.1716135591,0.3844245374,0.01824599429,0.1409309333,-0.01629478936,0.1566828001,0.09048854843,0.1068509969
full-data,1,temperature-scaling,posthoc,information-theoretic,977,977,0.5567111373,0,0.1416907161,0,0.1120283131,0.1352743136,,,0.08717749606,
full-data,1,temperature-scaling,posthoc,bregman-estimated,977,977,0.5567111373,-4.317375901e-10,0.1416907161,1.909897129e-08,0.1120283131,0.1352743136,,,0.08717749606,
full-data,1,swag,posthoc,information-theoretic,977,977,0.0247771088,0.09327802807,0.04389261454,0.1380751133,0.0134018594,0.1773692723,-0.01674307642,0.1700863928,0.1344467024,0.1251104439
full-data,1,swag,posthoc,bregman-estimated,977,977,0.0247771088,0.221602723,0.04389261454,0.5381230116,0.0134018594,0.1773692723,-0.06401886597,0.1694939244,0.1344467024,0.124644681
scarce-50pct,0.5,deep-ensemble,posthoc,information-theoretic,977,977,0.2379640937,0.09362259507,0.1642622054,0.1068756729,0.06296501108,0.1504785001,0.02095138609,0.1281709067,0.1018106142,0.08911334128
scarce-50pct,0.5,deep-ensemble,posthoc,bregman-estimated,977,977,0.2379640937,0.1500386596,0.1642622054,0.2156597227,0.06296501108,0.1504785001,-0.0001819033864,0.1239280955,0.1018106142,0.08483452375
scarce-50pct,0.5,temperature-scaling,posthoc,information-theoretic,977,977,0.574431777,0,0.130314365,0,0.1242502654,0.1348860335,,,0.09223476646,
scarce-50pct,0.5,temperature-scaling,posthoc,bregman-estimated,977,977,0.574431777,9.921641286e-10,0.130314365,1.663144111e-08,0.1242502654,0.1348860335,,,0.09223476646,
scarce-50pct,0.5,swag,posthoc,information-theoretic,977,977,0.2206508815,0.1570444256,0.1461283565,0.1109299362,0.1600188087,0.2062756819,0.1611111603,0.198208736,0.1816566403,0.1744570938
scarce-50pct,0.5,swag,posthoc,bregman-estimated,977,977,0.2206508815,0.2337831259,0.1461283565,0.2292186469,0.1600188087,0.2062756819,0.1507785238,0.2049767348,0.1816566403,0.18070592
scarce-10pct,0.1,deep-ensemble,posthoc,information-theoretic,977,977,0.3125378489,0.1353601664,0.1425920725,0.06667754054,0.06842445648,0.1154713541,0.1745157432,0.1782006119,0.07511518457,0.1714462495
scarce-10pct,0.1,deep-ensemble,posthoc,bregman-estimated,977,977,0.3125378489,0.1669686288,0.1425920725,0.09651593119,0.06842445648,0.1154713541,0.143391041,0.1643309434,0.07511518457,0.1477150253
scarce-10pct,0.1,temperature-scaling,posthoc,information-theoretic,977,977,0.6022891998,0,0.09161736071,0,0.06712543396,0.07016672686,,,0.03465833022,
