method,method_label,severity,corruption,it_au_ood_auroc,it_eu_ood_auroc,total_entropy_ood_auroc,bregman_au_ood_auroc
deep-loss-prediction,Deep loss prediction,1,stain_deposit,0.502176,0.500000,0.502176,0.502176
deep-loss-prediction,Deep loss prediction,2,brightness_down,0.805073,0.500000,0.805073,0.805073
deep-loss-prediction,Deep loss prediction,2,bubble,0.422566,0.500000,0.422566,0.422566
deep-loss-prediction,Deep loss prediction,2,contrast_up,0.439587,0.500000,0.439587,0.439587
deep-loss-prediction,Deep loss prediction,2,defocus_blur,0.529491,0.500000,0.529491,0.529491
deep-loss-prediction,Deep loss prediction,2,jpeg_compression,0.496498,0.500000,0.496498,0.496498
deep-loss-prediction,Deep loss prediction,2,motion_blur,0.538797,0.500000,0.538797,0.538797
deep-loss-prediction,Deep loss prediction,2,pixelate,0.498854,0.500000,0.498854,0.498854
deep-loss-prediction,Deep loss prediction,2,stain_deposit,0.512700,0.500000,0.512700,0.512700
deep-loss-prediction,Deep loss prediction,3,brightness_down,0.886930,0.500000,0.886930,0.886930
deep-loss-prediction,Deep loss prediction,3,bubble,0.329234,0.500000,0.329234,0.329234
deep-loss-prediction,Deep loss prediction,3,contrast_up,0.411935,0.500000,0.411935,0.411935
deep-loss-prediction,Deep loss prediction,3,defocus_blur,0.539962,0.500000,0.539962,0.539962
deep-loss-prediction,Deep loss prediction,3,jpeg_compression,0.497331,0.500000,0.497331,0.497331
deep-loss-prediction,Deep loss prediction,3,motion_blur,0.546674,0.500000,0.546674,0.546674
deep-loss-prediction,Deep loss prediction,3,pixelate,0.495331,0.500000,0.495331,0.495331
deep-loss-prediction,Deep loss prediction,3,stain_deposit,0.519000,0.500000,0.519000,0.519000
deep-loss-prediction,Deep loss prediction,4,brightness_down,0.881504,0.500000,0.881504,0.881504
deep-loss-prediction,Deep loss prediction,4,bubble,0.283745,0.500000,0.283745,0.283745
deep-loss-prediction,Deep loss prediction,4,contrast_up,0.387193,0.500000,0.387193,0.387193
deep-loss-prediction,Deep loss prediction,4,defocus_blur,0.546054,0.500000,0.546054,0.546054
deep-loss-prediction,Deep loss prediction,4,jpeg_compression,0.498415,0.500000,0.498415,0.498415
deep-loss-prediction,Deep loss prediction,4,motion_blur,0.546674,0.500000,0.546674,0.546674
deep-loss-prediction,Deep loss prediction,4,pixelate,0.507444,0.500000,0.507444,0.507444
deep-loss-prediction,Deep loss prediction,4,stain_deposit,0.525159,0.500000,0.525159,0.525159
deep-loss-prediction,Deep loss prediction,5,brightness_down,0.772275,0.500000,0.772275,0.772275
deep-loss-prediction,Deep loss prediction,5,bubble,0.168864,0.500000,0.168864,0.168864
deep-loss-prediction,Deep loss prediction,5,contrast_up,0.365573,0.500000,0.365573,0.365573
deep-loss-prediction,Deep loss prediction,5,defocus_blur,0.556308,0.500000,0.556308,0.556308
deep-loss-prediction,Deep loss prediction,5,jpeg_compression,0.499532,0.500000,0.499532,0.499532
deep-loss-prediction,Deep loss prediction,5,motion_blur,0.552639,0.500000,0.552639,0.552639
deep-loss-prediction,Deep loss prediction,5,pixelate,0.512795,0.500000,0.512795,0.512795
deep-loss-prediction,Deep loss prediction,5,stain_deposit,0.570452,0.500000,0.570452,0.570452
sngp,SNGP,1,brightness_down,0.502567,0.500415,0.501033,0.502567
sngp,SNGP,1,bubble,0.504959,0.498093,0.499470,0.504959
sngp,SNGP,1,contrast_up,0.504293,0.509641,0.510678,0.504293
sngp,SNGP,1,defocus_blur,0.498190,0.506060,0.504521,0.498190
sngp,SNGP,1,jpeg_compression,0.503745,0.502276,0.502074,0.503745
sngp,SNGP,1,motion_blur,0.504722,0.506401,0.507785,0.504722
sngp,SNGP,1,pixelate,0.501357,0.502298,0.501812,0.501357
sngp,SNGP,1,stain_deposit,0.499665,0.505949,0.505215,0.499665
sngp,SNGP,2,brightness_down,0.507038,0.497546,0.498285,0.507038
sngp,SNGP,2,bubble,0.504727,0.504735,0.505779,0.504727
sngp,SNGP,2,contrast_up,0.501705,0.495355,0.495891,0.501705
sngp,SNGP,2,defocus_blur,0.498883,0.503061,0.502276,0.498883
sngp,SNGP,2,jpeg_compression,0.503916,0.504532,0.504711,0.503916
sngp,SNGP,2,motion_blur,0.500037,0.504935,0.504279,0.500037
sngp,SNGP,2,pixelate,0.503690,0.500118,0.501466,0.503690
sngp,SNGP,2,stain_deposit,0.504178,0.500695,0.502231,0.504178
sngp,SNGP,3,brightness_down,0.503146,0.498777,0.499787,0.503146
sngp,SNGP,3,bubble,0.509678,0.498595,0.502965,0.509678
sngp,SNGP,3,contrast_up,0.501202,0.496324,0.495140,0.501202
