intervention,method,level,decomposition,clean_au,intervention_au,delta_au,clean_eu,intervention_eu,delta_eu,finite_n
scarcity,loss-prediction,0.1,information-theoretic,0.1019592285,0.28106510639190674,0.17910587789190674,0.0,0.0,0.0,7180
scarcity,loss-prediction,0.1,bregman-estimated,0.1019592285,0.28106510639190674,0.17910587789190674,-3.301845949e-11,2.464985160433031e-11,5.766831109433031e-11,7180
scarcity,deep-loss-prediction,0.1,information-theoretic,0.1257501543,0.26342692971229553,0.13767677541229553,0.0,0.0,0.0,7180
scarcity,deep-loss-prediction,0.1,bregman-estimated,0.1257501543,0.26342692971229553,0.13767677541229553,2.199611604e-10,2.968369161582274e-10,7.687575575822739e-11,7180
scarcity,mc-dropout,0.1,information-theoretic,0.1328613609,0.28242892026901245,0.14956755936901245,0.01678682305,0.012574744410812855,-0.004212078639187145,7180
scarcity,mc-dropout,0.1,bregman-estimated,0.1328613609,0.28242892026901245,0.14956755936901245,0.0183695294,0.013043588027358055,-0.005325941372641946,7180
scarcity,edl,0.1,information-theoretic,0.5692746639251709,1.215973138809204,0.6466984748840332,0.09306623041629791,0.22709469497203827,0.13402846455574036,7180
scarcity,edl,0.1,bregman-estimated,0.5692746639251709,1.215973138809204,0.6466984748840332,0.10841552168130875,0.27170342206954956,0.16328790038824081,7180
scarcity,sngp,0.1,information-theoretic,0.1348998994,0.3352729380130768,0.2003730386130768,0.001008035848,0.03525761514902115,0.03424957930102115,7180
scarcity,sngp,0.1,bregman-estimated,0.1348998994,0.3352729380130768,0.2003730386130768,0.00101473846,0.04399096220731735,0.042976223747317355,7180
scarcity,postnet,0.1,information-theoretic,0.3013033569,0.6891255378723145,0.38782218097231447,0.01294224989,0.008173457346856594,-0.004768792543143406,7180
scarcity,postnet,0.1,bregman-estimated,0.3013033569,0.6891255378723145,0.38782218097231447,0.01532571949,0.009369056671857834,-0.005956662818142167,7180
scarcity,het,0.1,information-theoretic,0.1217880547,0.2407551258802414,0.1189670711802414,0.01736928709,0.009830053895711899,-0.007539233194288102,7180
scarcity,het,0.1,bregman-estimated,0.1217880547,0.2407551258802414,0.1189670711802414,0.02015758306,0.01018862146884203,-0.009968961591157972,7180
scarcity,het-xl,0.1,information-theoretic,0.1636299342,0.4589330554008484,0.2953031212008484,0.01206135191,0.16456900537014008,0.15250765346014009,7180
scarcity,het-xl,0.1,bregman-estimated,0.1636299342,0.4589330554008484,0.2953031212008484,0.0128941806,1.0866384506225586,1.0737442700225586,7180
scarcity,hetclassnn,0.1,information-theoretic,0.1107285246,0.27348634600639343,0.16275782140639344,0.01530389488,0.012869234196841717,-0.0024346606831582834,7180
scarcity,hetclassnn,0.1,bregman-estimated,0.1107285246,0.27348634600639343,0.16275782140639344,0.0171825923,0.013376564718782902,-0.0038060275812170988,7180
scarcity,shallow-ensemble,0.1,information-theoretic,0.1069713533,0.24461102485656738,0.13763967155656737,0.003378773341,0.03501066938042641,0.031631896039426406,7180
scarcity,shallow-ensemble,0.1,bregman-estimated,0.1069713533,0.24461102485656738,0.13763967155656737,0.003639814677,0.12564468383789062,0.12200486916089062,7180
scarcity,duq,0.1,information-theoretic,0.1796124578,0.7809653878211975,0.6013529300211975,0.0,0.0,0.0,7180
scarcity,duq,0.1,bregman-estimated,0.1796124578,0.7809653878211975,0.6013529300211975,-2.251394383e-11,-6.724706902438982e-11,-4.473312519438982e-11,7180
